新 213,その咎（とが）を皆赦され
新 214,イエスより流るる
新 215,神は汚れたる世人のため
新 216,ここに真（まこと）の愛あり
新 217,九十九匹の羊は
新 218,汚れと恥との
新 219,われを見出（いだ）し
新 220,恵みの光は
新 221,ああ主の瞳
新 222,罪の深みに
新 223,群れを離れて
新 224,ああ驚くべきイエスの愛よ
新 225,罪の汚れを洗い清むるは
新 226,我が主を十字架の
新 227,キリストの愛我に迫れり
新 228,栄えに輝くイエス・キリスト
新 229,千歳（ちとせ）の岩よ
新 230,十字架の元ぞ
新 231,勳（いさお）無き我を
新 232,弱き者よ我にすべて
新 233,驚くばかりのアメイズィング
新 234,浮世の友失せ去れ
新 235,罪、重荷を除くは
新 236,徒（あだ）に世をば過ごし
新 237,疲れ果てたる
新 238,尊き泉あり
新 239,与えよ唯（ただ）主を
新 240,我が胸は罪に
新 241,主イエスのごとき友は
新 242,我に聞かしめよ
新 243,罪人たちの為に
新 244,信ずる者は何人も
新 245,嘆く者の溢（あふ）れる
新 246,奇（くす）しきものの音（ね）
新 247,神の給う安けさは
新 248,人生の海の嵐に
新 249,貧しくあれども
新 250,世の波風如何に荒れて
新 251,主イェスの御側に
新 252,安けさは川の如く
新 253,イェスの御腕に
新 254,心にあるこの安きを
新 255,主は我が牧者（かいぬし）
新 256,御翼の許（もと）に
新 257,キリストは生きておられる
新 258,墨よりも黒き心なれど
新 259,聖（きよ）い文は教える
新 260,我が胸に響く歌あり
新 261,流し給いし
新 262,我が生涯は
新 263,罪咎（とが）を赦され
新 264,我贖（あがな）われて
新 265,世人の咎（とが）の為に
新 266,罪咎（とが）を赦され
新 267,渇（かわ）ける我は上より賜う
新 268,御国の心地す
新 269,歌え嬉しく
新 270,歌えど尽きせぬ主の誉（ほま）れ
新 271,一度（ひとたび）はわれも　
新 272,救い主の愛と
新 273,主は我に来（きた）り
新 274,この日は主イエスが
新 275,信仰こそ旅路を導く杖よ
新 276,我が魂を愛する　
新 277,わが喜び
新 278,重荷耐え難く
新 279,悩みの時に
新 280,神は我が櫓（やぐら）
新 281,疑い憂いに
新 282,見ゆるところによらず
新 283,主よ我が側を
新 284,ひたすら求めよ
新 285,心挫（くじ）けて
新 286,シャロンの花
新 287,学ばせて下さい　
新 288,岩なり城なり
新 289,空の鳥も野の獣も
新 290,野の花を見よと
新 291(71),神の国と神の義
新 292,もしも私が苦しまなかったら　
新 293,汝（な）が神はわが神なり
新 294,死ぬべくば我死ぬべし　
新 295,三人の父祖
新 296,山の端に日は落ちて
新 297,神は我が力
新 298,主に任（まか）せ
新 299,山辺に向かいて我
新 300,御恵み豊けき
新 301,我が行く道いついかに
新 302,恵みある主
新 303,安かれ我が心よ
新 304(520),神よ牡鹿（おじか）の　
新 305,主は我が飼（か）い主なれば
新 306,鹿の谷川を求むるごとく 　
新 307,主は避（さ）けどころなり
新 308,高き岩よ我が君よ
新 309,荒野を旅する
新 310,愛するイエスよ
新 311,如何に恐るべき
新 312,日毎（ひごと）主イエスに
新 313,鳥のごと山に逃げよ
新 314,天津（あまつ）国を指して
新 315,主の御手に頼る日は
新 316,御言葉なる
新 317,我が友主イェスは
新 318,君は我が身の
新 319,雨に濡（ぬ）れ濡（そぼ）ち
新 320,世の波風に
新 321,浮世の風と
新 322,波風悩みを
新 323,この世の旅路に
新 324,主と主の言葉に
新 325,歌いつつ歩まん
新 326,我が世の旅路　
新 327,風は荒れ狂う
新 328,神は我等の強き盾
新 329,御国への道歩む時
新 330,幸い薄く見ゆる日に
新 331,今日まで来たのは
新 332,主は真の葡萄の木です
新 333,示し給え
新 334,朝静かに
新 335,光に歩めよ
新 336,日暮れて闇は迫り
新 337,愛する主よ、我が君よ
新 338,山行くも海行くも
新 339,恵みの高き嶺
新 340,救い主イェスと
新 341,恐れなく近寄れ
新 342,神の子なるイェス
新 343,罪に満てる世界
新 344,なおも御恵（みめぐ）みを
新 345,沖へ出でよ
新 346,かつては我
新 347,汚れしこの世の　
新 348,鷲のごとく
新 349,移り行く時の間も
新 350,主の恵み語るは楽し
新 351,私達は福音を聞いて
新 352,心に主の愛
新 353,主イエスは救いを
新 354,迷える時光りを
新 355,主と共に歩む
新 356,目には見えねども
新 357,何故御神は
新 358,神無く望み無く
新 359,罪深きこの身を
新 360,惑いの雲消えて
新 361,栄えの王に在（ま）す主の　
新 362,人々はイエスの教えを
新 363,我が身の望みは
新 364,我が主イェスよ只管
新 365,君なるイエスよ
新 366,正しく聖くあらまし
新 367,イェスよこの身を
新 368,墨より黒き罪のしみ
新 369,主よこの身、今全（また）くし
新 370,一つの願い
新 371,その血もてわが身を
新 372,聖なる者と
新 373,主ひとり
新 374(45),来たれ汝を清めれば
新 375,全き平和、安き心
新 376,如何に汚れたる
新 377,見よ十字架より降る
新 378,罪の世人らに
新 379,主よ我が罪と汚れを
新 380,人に捨てられて
新 381,朝日の光は
新 382,心から願うのは
